SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-10-2018,Condo/Co-op,630 Leavenworth St #4,San Francisco,CA,94109,925000,2,2.0,Downtown,966,,1918,311,958,605,Sold,,,http://www.redfin.com/CA/San-Francisco/630-Leavenworth-St-94109/unit-4/home/39541928,San Francisco MLS,469450,N,Y,37.7869986,-122.4146335
PAST SALE,August-7-2018,Condo/Co-op,1355 Pacific Ave #404,San Francisco,CA,94109,1680000,2,2.0,Nob Hill,1180,,2010,283,1424,515,Sold,,,http://www.redfin.com/CA/San-Francisco/1355-Pacific-Ave-94109/unit-404/home/40138619,San Francisco MLS,469753,N,Y,37.7952964,-122.4175407
PAST SALE,January-3-2019,Condo/Co-op,150 Lombard St #25,San Francisco,CA,94111,1125000,2,2.5,North Waterfront,1275,,1975,134,882,1054,Sold,,,http://www.redfin.com/CA/San-Francisco/150-Lombard-St-94111/unit-25/home/148028935,San Francisco MLS,478386,N,Y,37.8042593,-122.4041629
PAST SALE,May-7-2018,Condo/Co-op,481 Clementina St Unit B,San Francisco,CA,94103,960000,2,2.0,South of Market,807,,1912,375,1190,400,Sold,,,http://www.redfin.com/CA/San-Francisco/481-Clementina-St-94103/unit-B/home/17305023,San Francisco MLS,468847,N,Y,37.7792238,-122.4055125
PAST SALE,January-16-2019,Condo/Co-op,1451 Montgomery St #4,San Francisco,CA,94133,1525000,2,2.0,Telegraph Hill,,,,121,,520,Sold,,,http://www.redfin.com/CA/San-Francisco/1451-Montgomery-St-94133/unit-4/home/22045220,San Francisco MLS,477612,N,Y,37.802663,-122.4049373
PAST SALE,January-29-2019,Condo/Co-op,426-430 Greenwich #428,San Francisco,CA,94133,1300000,2,2.0,Telegraph Hill,,,,108,,467,Sold,,,http://www.redfin.com/CA/San-Francisco/430-Greenwich-St-94133/unit-428/home/148174503,San Francisco MLS,478949,N,Y,37.8028005,-122.4068628
PAST SALE,February-15-2019,Condo/Co-op,1488 Harrison St #305,SAN FRANCISCO,CA,94103,1080000,2,2.0,SAN FRANCISCO,1166,5000,2001,91,926,589,Sold,,,http://www.redfin.com/CA/San-Francisco/1488-Harrison-St-94103/unit-305/home/12397802,MLSListings,ML81727389,N,Y,37.7709329,-122.4124205
PAST SALE,March-8-2019,Condo/Co-op,1 Hawthorne St Unit 6H,San Francisco,CA,94105,1670000,2,2.0,Yerba Buena,1398,,2010,70,1195,864,Sold,,,http://www.redfin.com/CA/San-Francisco/1-Hawthorne-St-94105/unit-6H/home/40138071,San Francisco MLS,480919,N,Y,37.7857356,-122.3989521
PAST SALE,March-18-2019,Condo/Co-op,152 Lombard St #304,San Francisco,CA,94111,1199000,2,2.0,North Waterfront,1395,,1975,60,859,1071,Sold,,,http://www.redfin.com/CA/San-Francisco/152-Lombard-St-94111/unit-304/home/102814707,San Francisco MLS,481120,N,Y,37.80445,-122.404178
PAST SALE,March-19-2019,Condo/Co-op,1188 Pacific Ave,San Francisco,CA,94133,1550000,2,2.0,Nob Hill,1394,,1914,59,1112,,Sold,,,http://www.redfin.com/CA/San-Francisco/1188-Pacific-Ave-94133/home/160520179,San Francisco MLS,481002,N,Y,37.7960751,-122.4147706
PAST SALE,March-22-2019,Condo/Co-op,920 Harrison St #1,San Francisco,CA,94107,1310000,2,2.5,South of Market,1605,,1999,56,816,759,Sold,,,http://www.redfin.com/CA/San-Francisco/920-Harrison-St-94107/unit-1/home/12395890,San Francisco MLS,480068,N,Y,37.7787852,-122.40256
PAST SALE,March-22-2019,Condo/Co-op,355 1st St #2803,San Francisco,CA,94105,2112500,2,2.0,South Beach,,,2004,56,,987,Sold,,,http://www.redfin.com/CA/San-Francisco/355-1st-St-94105/unit-2803/home/147285575,San Francisco MLS,482214,N,Y,37.7868803,-122.3934978
PAST SALE,March-26-2019,Condo/Co-op,99 Rausch St #426,San Francisco,CA,94103,1245000,2,2.0,South of Market,857,,2018,52,1453,728,Sold,,,http://www.redfin.com/CA/San-Francisco/99-Rausch-St-94103/unit-426/home/160472073,San Francisco MLS,481318,N,Y,37.7761989,-122.4090638
PAST SALE,March-29-2019,Condo/Co-op,177 Townsend St #822,San Francisco,CA,94107,1500000,2,2.0,South Beach,,,2007,49,,765,Sold,,,http://www.redfin.com/CA/San-Francisco/177-Townsend-St-94107/unit-822/home/103935968,San Francisco MLS,481374,N,Y,37.7791526,-122.3919931
PAST SALE,April-3-2019,Condo/Co-op,999 Green St #2601,San Francisco,CA,94133,2600000,2,2.0,Russian Hill,1328,,1964,44,1958,1897,Sold,,,http://www.redfin.com/CA/San-Francisco/999-Green-St-94133/unit-2601/home/880581,San Francisco MLS,482552,N,Y,37.7984466,-122.4152176
