SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-5-2019,Condo/Co-op,1266 Hampshire St,San Francisco,CA,94110,825000,2,2.0,Inner Mission,950,,,73,868,300,Sold,,,http://www.redfin.com/CA/San-Francisco/1266-Hampshire-St-94110/home/1565681,San Francisco MLS,480093,N,Y,37.7519445,-122.4074775
PAST SALE,March-29-2019,Condo/Co-op,701 Pennsylvania Ave #105,San Francisco,CA,94107,1090000,2,2.5,Potrero Hill,1155,,1999,49,944,561,Sold,,,http://www.redfin.com/CA/San-Francisco/701-Pennsylvania-Ave-94107/unit-105/home/147939512,San Francisco MLS,480358,N,Y,37.757359,-122.3928782
PAST SALE,September-17-2018,Condo/Co-op,1158 Sutter #9,San Francisco,CA,94109,1165000,2,2.0,Downtown,1190,,2008,242,979,697,Sold,,,http://www.redfin.com/CA/San-Francisco/1158-Sutter-St-94109/unit-9/home/12442383,San Francisco MLS,474339,N,Y,37.788086,-122.4195891
PAST SALE,November-9-2017,Condo/Co-op,1807 Jones St,San Francisco,CA,94109,1800000,2,2.0,Russian Hill,1562,,1922,554,1152,400,Sold,,,http://www.redfin.com/CA/San-Francisco/1807-Jones-St-94109/home/1180028,San Francisco MLS,461335,N,Y,37.797918,-122.415733
PAST SALE,November-27-2018,Condo/Co-op,1454 California St #3,San Francisco,CA,94109,1371454,2,1.5,Nob Hill,1264,,1909,171,1085,400,Sold,,,http://www.redfin.com/CA/San-Francisco/1454-California-St-94109/unit-3/home/550525,San Francisco MLS,477792,N,Y,37.7911713,-122.4183642
PAST SALE,,Condo/Co-op,1080 Sutter St #403,San Francisco,CA,94109,826000,2,1.0,,,,2014,,,,,,,http://www.redfin.com/CA/San-Francisco/1080-Sutter-St-94109/unit-403/home/69054922,,,N,Y,37.7882378,-122.4180578
PAST SALE,May-9-2018,Condo/Co-op,1731 Grove,SAN FRANCISCO,CA,94117,1700000,2,2.0,SAN FRANCISCO,1400,,1911,373,1214,300,Sold,,,http://www.redfin.com/CA/San-Francisco/1731-Grove-St-94117/home/1870280,MLSListings,ML81701638,N,Y,37.774781,-122.445008
PAST SALE,May-15-2018,Condo/Co-op,708 Masonic Ave,San Francisco,CA,94117,1350000,2,1.5,North Panhandle,1248,,1914,367,1082,242,Sold,,,http://www.redfin.com/CA/San-Francisco/708-Masonic-Ave-94117/home/864547,San Francisco MLS,469793,N,Y,37.7747083,-122.4459387
PAST SALE,May-9-2018,Condo/Co-op,2040 Fell St #12,San Francisco,CA,94117,1365000,2,1.0,North Panhandle,1593,,1925,373,857,571,Sold,,,http://www.redfin.com/CA/San-Francisco/2040-Fell-St-94117/unit-12/home/1953784,San Francisco MLS,469130,N,Y,37.772597,-122.451587
PAST SALE,October-22-2018,Condo/Co-op,1792 Page St,SAN FRANCISCO,CA,94117,1637000,2,1.0,SAN FRANCISCO,1319,2495,1900,207,1241,200,Sold,,,http://www.redfin.com/CA/San-Francisco/1792-Page-St-94117/home/147222119,MLSListings,ML81724782,N,Y,37.7707656,-122.4502325
PAST SALE,September-12-2018,Condo/Co-op,1327 Church St,San Francisco,CA,94114,1265000,2,1.0,Noe Valley,,,1953,247,,317,Sold,,,http://www.redfin.com/CA/San-Francisco/1327-Church-St-94114/home/146455544,San Francisco MLS,473820,N,Y,37.749677,-122.4270259
PAST SALE,,Condo/Co-op,900 Gilman Ave #6,San Francisco,CA,94124,447500,2,1.0,,,,2006,,,,,,,http://www.redfin.com/CA/San-Francisco/900-Gilman-Ave-94124/unit-6/home/12243469,,,N,Y,37.7175681,-122.3864356
PAST SALE,August-22-2018,Condo/Co-op,238 24th Ave,San Francisco,CA,94121,1800000,2,2.0,Lake,1900,,,268,947,250,Sold,,,http://www.redfin.com/CA/San-Francisco/238-24th-Ave-94121/home/12402425,San Francisco MLS,474341,N,Y,37.7850432,-122.4838068
PAST SALE,November-30-2018,Condo/Co-op,369 18th Ave #212,San Francisco,CA,94121,1197250,2,2.0,Central Richmond,1055,,2018,168,1135,488,Sold,,,http://www.redfin.com/CA/San-Francisco/369-18th-Ave-94121/unit-212/home/145386317,San Francisco MLS,469901,N,Y,37.7806384,-122.4774286
PAST SALE,January-23-2019,Condo/Co-op,369 18th Ave #305,San Francisco,CA,94121,1140000,2,2.0,Central Richmond,1045,,2018,114,1091,562,Sold,,,http://www.redfin.com/CA/San-Francisco/369-18th-Ave-94121/unit-305/home/148463413,San Francisco MLS,479469,N,Y,37.7806384,-122.4774286
PAST SALE,November-26-2018,Condo/Co-op,504 46th Ave,San Francisco,CA,94121,1095000,2,2.0,Outer Richmond,1321,,1948,172,829,100,Sold,,,http://www.redfin.com/CA/San-Francisco/504-46th-Ave-94121/home/1306290,San Francisco MLS,476524,N,Y,37.778801,-122.5070626
